how many of 20 cents and 25 cents souveniers were distributed ? CANNOTDISTRIBUTE	WHNP0 WHNP1 IN0 NP0 NP1 CC0 NP0 NP1 NNS0 VP0 VP1 .0 CANNOTDISTRIBUTE	how many of 20 cents souveniers were distributed ? how many of 25 cents souveniers were distributed ?
on tuesday melinda picked up five doughnuts and six large coffees for the office staff . CANNOTDISTRIBUTE	IN0 NP0 NN0 VBD0 PRT0 NP0 NP1 CC0 NP0 NP1 NP2 PP0 PP1 PP2 PP3 .0 CANNOTDISTRIBUTE	on tuesday melinda picked up five doughnuts for the office staff . on tuesday melinda picked up six large coffees for the office staff .
the next day , he bought 2 hamburgers and 3 hot dogs for 7 dollars . CANNOTDISTRIBUTE	NP0 NP1 NP2 ,0 NP0 VBD0 NP0 NP1 CC0 NP0 NP1 NP2 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
juliet has a choice between receiving an 1800 dollars monthly salary from furniture by design or a base salary of 1600 dollars and a 4 % commission on the amount of furniture she sells during the month . CANNOTDISTRIBUTE	NP0 VBZ0 NP0 NP1 IN0 VBG0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 NP8 NP9 NP10 NP11 NP12 NP13 NP14 NP15 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 NP8 NP9 NP10 NP11 NP12 NP13 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
sally has 9 orange balloons and 4 blue balloons . CANNOTDISTRIBUTE	NP0 VBZ0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 .0 CANNOTDISTRIBUTE	sally has 9 orange balloons sally has 4 blue balloons
the sum of 38 and twice a number is 124 . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 VP0 VP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
kerry asked a bank teller to cash a 390 dollars check using 20 dollar bills and 50 dollar bills . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 TO0 VB0 NP0 NP1 NP2 NP3 VBG0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
nancy found 35 seashells and 25 starfish on the beach . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	nancy found 35 seashells on the beach . nancy found 25 starfish on the beach .
didi invested a total of 12,000 dollars in two accounts paying 7 .5 % and 6 % simple interest . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 NP3 NP4 IN0 NP0 NP1 VBG0 NP0 NP1 NP2 CC0 ADJP0 ADJP1 JJ0 NN0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a discount store sold plastic cups for 3 .25 dollars each and ceramic cups for 4 .50 dollars each . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBD0 NP0 NP1 PP0 PP1 PP2 PP3 PP4 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 .0 CANNOTDISTRIBUTE	a discount store sold plastic cups for 3 .25 dollars each . a discount store sold ceramic cups for 4 .50 dollars each .
three times a number is the same as the difference of twice the number and seven . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VBZ0 NP0 NP1 IN0 NP0 NP1 IN0 NP0 NP1 NP2 CC0 NP0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
first , they hiked 0 .2 mile from the car to a stream , and 0 .4 mile from the stream to a meadow . CANNOTDISTRIBUTE	ADVP0 ,0 NP0 VBD0 NP0 NP1 NP2 PP0 PP1 PP2 PP0 PP1 PP2 ,0 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 .0 CANNOTDISTRIBUTE	first they hiked 0 .2 mile from the car to a stream . they hiked 0 .4 mile from the stream to a meadow .
how many hours was the first storm and the second storm . CANNOTDISTRIBUTE	WHNP0 WHNP1 WHNP2 VBD0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 .0 CANNOTDISTRIBUTE	how many hours was the first storm . how many hours was the second storm .
hockey teams receive 2 points when they win and 1 point when they tie . CANNOTDISTRIBUTE	NP0 NP1 VP0 VP1 VP2 VP3 VP4 VP5 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	hockey teams receive 2 points when they win hockey teams receive 1 points when they tie .
there are two point and five point questions on the test . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 CC0 NP0 NP1 NP2 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	there are two-point questions on the test . there are five-point questions on the test .
tim and judy mix two kinds of feed for pedigreed dogs . CANNOTDISTRIBUTE	NN0 CC0 NN0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 .0 CANNOTDISTRIBUTE	tim mix two kinds of feed for pedigreed dogs . judy mix two kinds of feed for pedigreed dogs .
stan invested 17,000 dollars , part at 18 % and part at 4 % . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 ,0 NP0 NP1 NP2 NP3 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	stan invested 17 ,000 dollars , part at 18 % . stan invested 17 ,000 dollars , part at 4 % .
joan found 75 seashells and 14 starfishes on the beach . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	joan found 75 seashells on the beach . joan found 14 starfishes on the beach .
a theater sells children 's tickets for 4 dollars and adult tickets for 7 dollars . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 NP0 NP1 NP2 NP3 NP4 NP5 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	a theater sells children 's tickets for 4 dollars . a theater sells adult tickets for 7 dollars .
he sold some of them at 35 dollars each and the rest at 45 dollars each . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 PP0 PP1 PP2 PP3 CC0 S0 S1 S2 S3 S4 S5 .0 CANNOTDISTRIBUTE	he sold some of them at 35 dollars each . he sold the rest at 45 dollars each .
find the amount invested at 16 % and 14 % . CANNOTDISTRIBUTE	VB0 NP0 NP1 VBN0 IN0 NP0 NP1 CC0 NP0 NP1 .0 CANNOTDISTRIBUTE	find the amount invested at 16 % . find the amount invested at 14 % .
tickets for adults are 5 .50 dollars and tickets for children are 3 .50 dollars . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 CC0 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	tickets for adults are 5 .50 dollars . tickets for children are 3 .50 dollars .
how much of the 80 % base and the 30 % base should be used ? CANNOTDISTRIBUTE	X0 X1 IN0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	how much of the 80 % base should be used ? how much of the 30 % base should be used ?
lakota bought 6 new compact disks and 2 used compact disks for 127 .92 dollars . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 VP4 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
how many hours was the first storm and the second storm . CANNOTDISTRIBUTE	WHNP0 WHNP1 WHNP2 VBD0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 .0 CANNOTDISTRIBUTE	how many hours was the first storm . how many hours was the second storm .
there are 112 short trees and 119 tall trees currently in the park . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 PP0 PP1 PP2 PP3 .0 CANNOTDISTRIBUTE	there are 112 short trees currently in the park . there are 119 tall trees currently in the park .
the total cost of a pair of pants and a belt was 70 .93 dollars . CANNOTDISTRIBUTE	NP0 NP1 NP2 IN0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
one cost 200 dollars and the other cost 300 dollars . CANNOTDISTRIBUTE	S0 S1 S2 S3 CC0 S0 S1 S2 S3 S4 .0 CANNOTDISTRIBUTE	one cost 200 dollars . the other cost 300 dollars .
there is a total of 30 5 point and 10 point questions . CANNOTDISTRIBUTE	NP0 VBZ0 NP0 NP1 IN0 CD0 CD0 NN0 CC0 CD0 NN0 NNS0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
one is rated at 180 gallons per hour and the other at 250 gallons per hour . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 CC0 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	one is rated at 250 gallons per hour . one is rated at 180 gallons per hour
how many nickels and dimes does she have ? CANNOTDISTRIBUTE	WRB0 JJ0 NNS0 CC0 NNS0 SQ0 SQ1 SQ2 .0 CANNOTDISTRIBUTE	how many nickels does she have ? how many dimes does she have ?
there were 32 bales of hay in the barn and 26 bales in the shed . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	there were 32 bales of hay in the barn . there were 26 bales of hay in the shed .
jackie has coffee that sells for 9 dollars per pound and coffee that sells for 4 dollars per pound . CANNOTDISTRIBUTE	NP0 VBZ0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 .0 CANNOTDISTRIBUTE	jackie has coffee that sells for 9 dollars per pound . jackie has coffee that sells for 4 dollars per pound .
the sum of two numbers is 32 and the difference is 14 . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 CC0 S0 S1 S2 S3 .0 CANNOTDISTRIBUTE	the sum of two numbers is 32 . the difference of two numbers is 14 .
find the smaller and larger integer . CANNOTDISTRIBUTE	VB0 DT0 JJR0 CC0 JJR0 NN0 .0 CANNOTDISTRIBUTE	find the smaller integer . find the larger integer .
the lakers made a total of 37 baskets , consisting of 2 point baskets and 3 point baskets . CANNOTDISTRIBUTE	NP0 NP1 VBD0 NP0 NP1 PP0 PP1 PP2 ,0 VBG0 IN0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
one unit of whole wheat flour has 13 .6 grams of protein and 2 .5 grams of fat . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 NP5 VBZ0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	one unit of whole wheat flour has 13 .6 grams of protein . one unit of whole wheat flour has 2 .5 grams of fat .
colored copies cost 10 cents per copy and white copies cost 5 cents per copy . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 CC0 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	colored copies cost 10 cents per copies . white copies cost 5 cents per copies .
if the bricklayer earns 12 dollars per hour , the electrician earns 16 dollars an hour , and the owner pays them a total of 1350 dollars for their work , how many hours does the bricklayer work ? how many hours does the electrician work ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 ,0 S0 S1 S2 S3 S4 S5 S6 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 ,0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 .0 WHNP0 WHNP1 WHNP2 SQ0 SQ1 SQ2 SQ3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
the first car has consumed 25 gallons during that week , and the second has consumed 35 gallons , for a total of 2275 miles driven by the two cars combined . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
find the first and second numbers . CANNOTDISTRIBUTE	VB0 DT0 JJ0 CC0 JJ0 NNS0 .0 CANNOTDISTRIBUTE	find the first numbers . find the second numbers .
you order 2 tacos and 3 enchiladas , and your friend orders 3 tacos and 5 enchiladas . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 CC0 NP0 NP1 ,0 CC0 NP0 NP1 VBZ0 NP0 NP1 CC0 NP0 NP1 .0 CANNOTDISTRIBUTE	you order 2 tacos . you order 3 enchiladas . your friend order 3 tacos . your friend order 5 enchiladas .
a manufacturer produces two models of the same toy , model a and model b . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 NP0 NP1 IN0 NP0 NP1 NP2 ,0 NP0 DT0 CC0 NN0 NN0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
in a test of 30 questions , 20 points are given for each correct answer and 5 points are deducted for each one answered incorrectly . CANNOTDISTRIBUTE	PP0 PP1 PP2 PP3 PP4 PP5 ,0 S0 S1 S2 S3 S4 S5 S6 S7 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 .0 CANNOTDISTRIBUTE	in a test of 30 questions , 20 points are given for each correct answer in a test of 30 questions , 5 points are deducted for each one answer incorrectly
a plane is using fuel at the rate of 9 .5 gallons per hour and it has 6 .3333 gallons left in its tank . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 .0 CANNOTDISTRIBUTE	a plane is using fuel at the rate of 9 .5 gallons per hour . a plane has 6 .3333 gallons left in it tank .
three times a number is the same as the difference of twice the number and seven . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VBZ0 NP0 NP1 IN0 NP0 NP1 IN0 NP0 NP1 NP2 CC0 NP0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
how much must be drained off and replaced by a 50 % alcohol solution to produce one gallon of 65 % alcohol solution ? CANNOTDISTRIBUTE	WHNP0 WHNP1 MD0 VB0 VP0 VP1 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 VP10 VP11 VP12 VP13 VP14 VP15 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
the gift wrap in solid colors sold for 4 .00 dollars per roll and the print gift wrap sold for 6 .00 dollars per roll . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 .0 CANNOTDISTRIBUTE	the gift wrap in solid colors sold for 4 .00 dollars per roll . the print gift wrap sold for 6 .00 dollars per roll .
each unit of grain a contains 2 grams of fat and 80 calories , and unit b has 3 grams of fat and 60 calories . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 VBZ0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 ,0 CC0 NP0 NP1 VBZ0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 .0 CANNOTDISTRIBUTE	each unit of grain a contains 2 grams of fat . each unit of grain a contains 80 calories . each unit of grain b has 3 grams of fat . each unit of grain b has 60 calories .
two apples and five oranges cost 1 .27 dollars . CANNOTDISTRIBUTE	NP0 NP1 CC0 NP0 NP1 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
joan has 47 green and 48 red marbles . CANNOTDISTRIBUTE	NP0 VBZ0 NP0 NP1 CC0 CD0 JJ0 NNS0 .0 CANNOTDISTRIBUTE	joan has 47 green marbles . joan has 48 red marbles .
residents paid 12 .95 dollars and non residents paid 17 .95 dollars . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 CC0 S0 S1 S2 S3 S4 S5 .0 CANNOTDISTRIBUTE	residents paid 12 .95 dollars . non-residents paid 17 .95 dollars .
tickets bought before the rally were 2 dollars each , and tickets bought at the door were 2 .75 dollars each . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 .0 CANNOTDISTRIBUTE	tickets bought before the rally were 2 dollars each . tickets bought at the door were 2 .75 dollars each .
mary found 18 seashells and jessica found 41 seashells on the beach . CANNOTDISTRIBUTE	NP0 VBD0 CD0 NNS0 CC0 NP0 VP0 VP1 VP2 VP3 VP4 VP5 .0 CANNOTDISTRIBUTE	mary found 18 seashells . jessica found 41 seashells on the beach .
what mileage can you go and stay within your budget ? CANNOTDISTRIBUTE	WHNP0 WHNP1 MD0 NP0 VP0 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a woman has 450 dollars invested , part at 2 % and the remainder at 3 % simple interest . CANNOTDISTRIBUTE	NP0 NP1 VP0 VP1 VP2 VP3 ,0 NP0 NP1 NP2 NP3 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
steve purchased tickets to a circus for 7 adults and 2 children . CANNOTDISTRIBUTE	NP0 VBN0 NP0 PP0 PP1 PP2 IN0 NP0 NP1 CC0 NP0 NP1 .0 CANNOTDISTRIBUTE	steve purchased tickets to a circus for 7 adults . steve purchased tickets to a circus for 2 children .
if twice the smaller number is 6 more than the larger , find the smaller number and the larger number . CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 SBAR10 ,0 VB0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 .0 CANNOTDISTRIBUTE	if twice the smaller number is 6 more than the larger , find the smaller number . if twice the smaller number is 6 more than the larger , find the larger number .
tickets bought before the rally were 2 dollars each , and tickets bought at the door were 2 .75 dollars each . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 .0 CANNOTDISTRIBUTE	tickets bought before the rally were 2 dollars each . tickets bought at the door were 2 .75 dollars each .
wal mart sells thermometers for 2 dollars , and hot water bottles for 6 dollars . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 NP0 PP0 PP1 PP2 ,0 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	wal-mart sells thermometers for 2 dollars . wal-mart sells hot-water bottles for 6 dollars .
1 number is 9 less than twice another , and their sum is 42 . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 ,0 CC0 S0 S1 S2 S3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
the cost of 4 jeans and 5 shirts is 112 .15 dollars . CANNOTDISTRIBUTE	NP0 NP1 IN0 NP0 NP1 CC0 NP0 NP1 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
3 footballs and 1 soccer ball cost 155 dollars . CANNOTDISTRIBUTE	NP0 NP1 CC0 NP0 NP1 NP2 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
if the company paid 217,500 dollars for the trees , how many firs and pines did they buy ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 ,0 WHADJP0 WHADJP1 NNS0 CC0 NNS0 SQ0 SQ1 SQ2 .0 CANNOTDISTRIBUTE	if the company paid 217 ,500 dollars for the trees , how many firs did they buy ? if the company paid 217 ,500 dollars for the trees , how many pines did they buy ?
one of his loans was at 2 .8 % simple interest and the other at 4 .5 % . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VP0 VP1 VP2 VP3 VP4 VP5 VP6 CC0 VP0 VP1 VP2 VP3 VP4 VP5 .0 CANNOTDISTRIBUTE	one of his loans was at 2 .8 % simple interest . the other of his loans was at 4 .5 % simple interest .
this year , she bought some new hives and increased her honey harvest by 6085 pounds . CANNOTDISTRIBUTE	NP0 NP1 ,0 NP0 VP0 VP1 VP2 VP3 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 .0 CANNOTDISTRIBUTE	this year , she bought some new hives . this year , she increased her honey harvest by 6085 pounds .
student tickets cost 4 dollars and general admission tickets cost 6 dollars . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 CC0 S0 S1 S2 S3 S4 S5 .0 CANNOTDISTRIBUTE	student tickets cost 4 dollars . general admission tickets cost 6 dollars .
six apples and three oranges cost 1 .77 dollars . CANNOTDISTRIBUTE	NP0 NP1 CC0 NP0 NP1 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
find the amount of 6 percent acid solution and the amount of a 14 percent acid solution that pat should combine to prepare 50 cubic centimeters of 12 percent solution . . CANNOTDISTRIBUTE	VB0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 NP8 NP9 NP10 NP11 NP12 NP13 NP14 NP15 NP16 NP17 NP18 NP19 NP20 .0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
old mcdonald has 15 goats and chickens on his farm . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 CD0 NNS0 CC0 NNS0 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
find his rate in still water in kilometers per hour and the rate of the current . . CANNOTDISTRIBUTE	VB0 NP0 NP1 IN0 NP0 NP1 NP2 NP3 NP4 NP5 CC0 NP0 NP1 NP2 NP3 NP4 .0 .0 CANNOTDISTRIBUTE	find his rate in still water in kilometers per hour . find the rate of the current in kilometers per hour .
admission tickets to a football game were 60 cents for adults and 25 cents for children . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 NP5 VBD0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	admission tickets to a football game were 60 cents for adults . admission tickets to a football game were 25 cents for children .
a merchant wants to combine peanuts selling 2 .40 dollars per pound and cashews selling for 6 .00 dollars per pound to form 60 pounds which will sell at 3 .00 dollars per pound . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 TO0 VB0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S20 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
jill has 3 .50 dollars in nickels and dimes . CANNOTDISTRIBUTE	NP0 VBZ0 NP0 NP1 NP2 IN0 NNS0 CC0 NNS0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
if a serving of fries costs 0 .25 cents more then a hamburger , what is the cost of a hamburger and what is the cost of a serving of french fries ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 SBAR10 SBAR11 SBAR12 ,0 WHNP0 SQ0 SQ1 SQ2 SQ3 SQ4 SQ5 CC0 SBARQ0 SBARQ1 SBARQ2 SBARQ3 SBARQ4 SBARQ5 SBARQ6 SBARQ7 SBARQ8 SBARQ9 .0 CANNOTDISTRIBUTE	if a serving of fries costs 0 .25 cents more then a hamburger , what is the costs of a hamburger ? if a serving of fries costs 0 .25 cents more then a hamburger , what is the costs of a serving of french fries ?
one unit of whole milk has 3 .4 grams of protein and 3 .7 grams of fat . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 VBZ0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	one unit of whole milk has 3 .4 grams of protein . one unit of whole milk has 3 .7 grams of fat .
soybean meal is 16 % protein and cornmeal is 8 % . CANNOTDISTRIBUTE	NP0 NP1 VP0 VP1 VP2 VP3 CC0 NP0 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	soybean meal is 16 % protein . cornmeal is 8 % protein .
the first source provides crude oil that is 25 % hydrocarbons and the second one provides crude oil that is 75 % hydrocarbons . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 .0 CANNOTDISTRIBUTE	the first source provides crude oil that is 25 % hydrocarbons . the second source provides crude oil that is 75 % hydrocarbons .
scores are computed by giving 4 points for each right answer and subtracting one point for each wrong answer . CANNOTDISTRIBUTE	NP0 VBP0 VBN0 IN0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 .0 CANNOTDISTRIBUTE	scores are computed by giving 4 points for each right answer . scores are computed by subtracting one points for each wrong answer .
if tickets were sold for 20 dollars and 30 dollars each , how many 20 dollar tickets were sold ? how many 30 dollar tickets ? CANNOTDISTRIBUTE	IN0 NP0 VBD0 VBN0 IN0 NP0 NP1 CC0 NP0 NP1 NP2 ,0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 SBAR10 SBAR11 SBAR12 .0 CANNOTDISTRIBUTE	if tickets were sold for 20 dollars and 30 dollars each , how many 20-dollar tickets were sold ? if tickets were sold for 20 dollars and 30 dollars each , how many 30-dollar tickets were sold ?
if the company sells the handles for 4 .60 dollars each , how many handles must be molded and sold weekly to break even ? CANNOTDISTRIBUTE	IN0 NP0 NP1 VBZ0 DT0 NNS0 PP0 PP1 PP2 PP3 PP4 ,0 WHADJP0 WHADJP1 NNS0 MD0 VB0 VBN0 CC0 VBN0 ADVP0 S0 S1 S2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
find the price of an adult 's ticket and a child 's ticket . . CANNOTDISTRIBUTE	VB0 NP0 NP1 IN0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 .0 CANNOTDISTRIBUTE	find the price of an adult 's ticket find the price of a child 's ticket
in 1 week , mitch 's family drank 0 .5 carton of regular milk and 0 .1 carton of soy milk . CANNOTDISTRIBUTE	PP0 PP1 PP2 ,0 NP0 NP1 NP2 VBD0 NP0 NP1 NP2 NP3 NP4 NP5 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	in 1 week , mitch 's family drank 0 .5 carton of regular milk . in 1 week , mitch 's family drank 0 .1 carton of soy milk .
the cost of cultivating corn and wheat is 42 dollars for corn and 30 dollars for wheat . CANNOTDISTRIBUTE	NP0 NP1 IN0 VBG0 NN0 CC0 NN0 VBZ0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	the cost of cultivating corn is 42 dollars . the cost of cultivating wheat is 30 dollars .
alyssa has 37 blue balloons , sandy has 28 blue balloons , and sally has 39 blue balloons . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 ,0 JJ0 VP0 VP1 VP2 VP3 ,0 CC0 ADJP0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	alyssa has 37 blue balloons . sandy has 28 blue balloons . sally has 39 blue balloons .
if the total annual profit is 3,635,000 dollars , find the profit for the first half year and the second half year . CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 ,0 VB0 NP0 NP1 IN0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	if the total annual profit is 3 ,635 ,000 dollars , find the profit for the first half-year . if the total annual profit is 3 ,635 ,000 dollars , find the profit for the second half-year .
